#interval_tag	giter	x	y	end	mol_length	mol_sites	mapid	x0_loc	x1_loc	x0_site	x1_site
interval_errors	0	0.02	22.5445	1	3932.13	449	0	0	0.02	0	1
interval_errors	0	1.682	1.892	0	3932.13	449	0	0.02	1.702	1	2
interval_errors	0	44.5235	43.956	0	3932.13	449	0	1.702	46.2255	2	3
interval_errors	0	3.6818	3.694	0	3932.13	449	0	46.2255	49.9073	3	4
interval_errors	0	19.5286	20.1685	0	3932.13	449	0	49.9073	69.4359	4	5
interval_errors	0	3.337	3.3205	0	3932.13	449	0	69.4359	72.7729	5	6
interval_errors	0	5.8857	5.829	0	3932.13	449	0	72.7729	78.6586	6	7
interval_errors	0	11.179	11.02	0	3932.13	449	0	78.6586	89.8376	7	8
interval_errors	0	7.1647	7.092	0	3932.13	449	0	89.8376	97.0023	8	9
interval_errors	0	5.9769	5.882	0	3932.13	449	0	97.0023	102.979	9	10
interval_errors	0	14.1268	14.2565	0	3932.13	449	0	102.979	117.106	10	11
interval_errors	0	5.3619	5.0515	0	3932.13	449	0	117.106	122.468	11	12
interval_errors	0	8.678	8.477	0	3932.13	449	0	122.468	131.146	12	13
interval_errors	0	4.9499	4.919	0	3932.13	449	0	131.146	136.096	13	14
interval_errors	0	4.8776	4.837	0	3932.13	449	0	136.096	140.973	14	15
interval_errors	0	3.9826	4.286	0	3932.13	449	0	140.973	144.956	15	16
interval_errors	0	22.1751	21.713	0	3932.13	449	0	144.956	167.131	16	17
interval_errors	0	2.0126	1.951	0	3932.13	449	0	167.131	169.144	17	18
interval_errors	0	1.3281	1.619	0	3932.13	449	0	169.144	170.472	18	19
interval_errors	0	5.6505	6.774	0	3932.13	449	0	170.472	176.122	19	20
interval_errors	0	7.9745	7.835	0	3932.13	449	0	176.122	184.097	20	21
interval_errors	0	4.8461	4.8975	0	3932.13	449	0	184.097	188.943	21	22
interval_errors	0	12.6083	12.3715	0	3932.13	449	0	188.943	201.551	22	23
interval_errors	0	5.0967	4.998	0	3932.13	449	0	201.551	206.648	23	24
interval_errors	0	2.2225	2.381	0	3932.13	449	0	206.648	208.87	24	25
interval_errors	0	26.7288	26.282	0	3932.13	449	0	208.87	235.599	25	26
interval_errors	0	3.9565	3.865	0	3932.13	449	0	235.599	239.556	26	27
interval_errors	0	5.9512	5.907	0	3932.13	449	0	239.556	245.507	27	28
interval_errors	0	15.8258	15.639	0	3932.13	449	0	245.507	261.333	28	30
interval_errors	0	5.4371	5.536	0	3932.13	449	0	261.333	266.77	30	31
interval_errors	0	7.2536	7.107	0	3932.13	449	0	266.77	274.023	31	32
interval_errors	0	3.1096	3.177	0	3932.13	449	0	274.023	277.133	32	33
interval_errors	0	16.9235	16.7	0	3932.13	449	0	277.133	294.057	33	34
interval_errors	0	11.0341	10.967	0	3932.13	449	0	294.057	305.091	34	35
interval_errors	0	10.1187	9.938	0	3932.13	449	0	305.091	315.209	35	36
interval_errors	0	6.4176	6.378	0	3932.13	449	0	315.209	321.627	36	37
interval_errors	0	3.394	3.26	0	3932.13	449	0	321.627	325.021	37	38
interval_errors	0	2.0571	2.007	0	3932.13	449	0	325.021	327.078	38	39
interval_errors	0	1.2142	1.683	0	3932.13	449	0	327.078	328.292	39	40
interval_errors	0	3.5349	3.16	0	3932.13	449	0	328.292	331.827	40	41
interval_errors	0	8.6989	9.768	0	3932.13	449	0	331.827	340.526	41	42
interval_errors	0	15.0716	14.9	0	3932.13	449	0	340.526	355.598	42	43
interval_errors	0	6.9711	6.918	0	3932.13	449	0	355.598	362.569	43	44
interval_errors	0	3.0238	3.061	0	3932.13	449	0	362.569	365.593	44	45
interval_errors	0	7.2703	8.222	0	3932.13	449	0	365.593	372.863	45	47
interval_errors	0	15.4748	16.321	0	3932.13	449	0	372.863	388.338	47	48
interval_errors	0	16.8584	17.1055	0	3932.13	449	0	388.338	405.196	48	49
interval_errors	0	9.1709	9.3055	0	3932.13	449	0	405.196	414.367	49	50
interval_errors	0	3.4447	3.236	0	3932.13	449	0	414.367	417.812	50	51
interval_errors	0	1.7429	2.016	0	3932.13	449	0	417.812	419.555	51	52
interval_errors	0	23.0044	22.749	0	3932.13	449	0	419.555	442.559	52	53
interval_errors	0	9.1992	9.004	0	3932.13	449	0	442.559	451.758	53	54
interval_errors	0	7.4913	7.1795	0	3932.13	449	0	451.758	459.249	54	55
